place,classfication,general,industry,customer,usage,charge,avgsellingprice,avgusage,avgcharge
Jeju,education,not general,not industry,345,"9,512,353","922,060,161",96.9,27572.03768,2672638.148
Jeju,farming,not general,not industry,"45,693","99,101,567","4,581,720,177",46.2,2168.856652,100271.8179
Jeju,industry,not general,industry,"3,444","49,224,756","5,183,629,813",105.3,14292.90244,1505118.993
Jeju,night,not general,not industry,"6,949","4,824,436","288,955,681",59.9,694.2633472,41582.34005
Jeju,general,general,not industry,"71,086","150,463,746","17,655,727,646",117.3,2116.643868,248371.3762
Jeju,housing,not general,not industry,"284,484","63,345,150","6,389,229,811",100.9,222.6668284,22459.01285
ChungNam,streetlamp,not general,not industry,"145,737","15,050,544","1,663,131,073",110.5,103.2719488,11411.86571
ChungNam,education,not general,not industry,"1,115","28,683,782","2,800,344,076",97.6,25725.36502,2511519.351
ChungNam,farming,not general,not industry,"191,453","139,113,152","6,988,119,917",50.2,726.6177704,36500.44615
ChungNam,industry,not general,industry,"21,561","3,371,245,509","300,229,566,920",89.1,156358.4949,13924658.73
ChungNam,night,not general,not industry,"89,847","52,879,286","2,929,162,256",55.4,588.5481541,32601.67013
ChungNam,general,general,not industry,"163,343","316,352,532","38,743,087,004",122.5,1936.737613,237188.5358
ChungNam,housing,not general,not industry,"772,621","219,174,124","21,185,769,689",96.7,283.6761155,27420.64957
ChungBuk,streetlamp,not general,not industry,"99,040","15,923,439","1,727,128,237",108.5,160.7778574,17438.69383
ChungBuk,education,not general,not industry,780,"18,444,601","1,849,731,155",100.3,23646.92436,2371450.199
ChungBuk,farming,not general,not industry,"131,624","58,859,640","3,101,716,681",52.7,447.1801495,23564.97813
ChungBuk,industry,not general,industry,"16,809","1,506,431,332","138,466,649,991",91.9,89620.52067,8237649.473
ChungBuk,night,not general,not industry,"88,820","46,501,338","2,551,676,952",54.9,523.5458005,28728.6304
ChungBuk,general,general,not industry,"119,122","235,145,346","29,021,317,843",123.4,1973.987559,243626.8518
ChungBuk,housing,not general,not industry,"604,952","165,031,355","16,132,721,416",97.8,272.8007429,26667.77102
